FisheryFineID,RegTypeID,Finescale_name,finescale_description,FisheryCoarseID,Coarse_description,ERA_fishery_id,ERA_fishery_name,country,fishery_type
1145,,AK HF TTR,HIDDEN FALLS TERMINAL TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
1146,,AK SW MSF T,ALASKA SW QUADRANT SUMMER MSF TROLL,189,Alaska Summer CNR MSF North Inside Troll,6,AK FALL T,US,pre-terminal
1147,,AK NW MSF T,ALASKA NW QUADRANT SUMMER MSF TROLL,190,Alaska Summer CNR MSF North Outside Troll,6,AK FALL T,US,pre-terminal
1148,,AK SE MSF T,ALASKA SE QUADRANT SUMMER MSF TROLL,191,Alaska Summer CNR MSF South Inside Troll,6,AK FALL T,US,pre-terminal
1149,,AK NE MSF T,ALASKA NE QUADRANT SUMMER MSF TROLL,192,Alaska Summer CNR MSF North Outside Troll,6,AK FALL T,US,pre-terminal
1201,,NBC FALL T,NORTH FALL TROLL,27,North Fall Troll,8,NORTH T,Canada,pre-terminal
1202,,NBC WIN T,NORTH WINTER TROLL,28,North Winter Troll,8,NORTH T,Canada,pre-terminal
1203,,NBC SPR T,NORTH SPRING TROLL,29,North Spring Troll,8,NORTH T,Canada,pre-terminal
1204,,NBC SUM T,NORTH SUMMER TROLL,30,North Summer Troll,8,NORTH T,Canada,pre-terminal
1205,,CENTR T,COMBINED CR 56+57(2 CENTRAL TROLL),31,Central Troll,9,CENTRL T,Canada,pre-terminal
1206,,NWVI FALL T,NORTHWEST VANCOUVER ISLAND FALL TROLL,32,Northwest Vancouver Island Fall Troll,10,WCVI F/W T,Canada,pre-terminal
1207,,NWVI WIN T,NORTHWEST VANCOUVER ISLAND WINTER TROLL,33,Northwest Vancouver Island Winter Troll,10,WCVI F/W T,Canada,pre-terminal
1208,,NWVI SPR T,NORTHWEST VANCOUVER ISLAND SPRING TROLL,34,Northwest Vancouver Island Spring Troll,11,WCVI SPR T,Canada,pre-terminal
1209,,NWVI SUM T,NORTHWEST VANCOUVER ISLAND SUMMER TROLL,35,Northwest Vancouver Island Summer Troll,12,WCVI SUM T,Canada,pre-terminal
1210,,SWVI FALL T,SOUTHWEST VANCOUVER ISLAND FALL TROLL,36,Southwest Vancouver Island Fall Troll,10,WCVI F/W T,Canada,pre-terminal
1211,,SWVI WIN T,SOUTHWEST VANCOUVER ISLAND WINTER TROLL,37,Southwest Vancouver Island Winter Troll,10,WCVI F/W T,Canada,pre-terminal
1212,,SWVI SPR T,SOUTHWEST VANCOUVER ISLAND SPRING TROLL,38,Southwest Vancouver Island Spring Troll,11,WCVI SPR T,Canada,pre-terminal
1213,,SWVI SUM T,SOUTHWEST VANCOUVER ISLAND SUMMER TROLL,39,Southwest Vancouver Island Summer Troll,12,WCVI SUM T,Canada,pre-terminal
1214,,GEO ST T,GEORGIA STRAIT TROLL,40,Georgia Straight Troll,16,GEO ST T,Canada,pre-terminal
1301,,WA JDF T,WA JUAN DE FUCA TROLL,41,Washington Juan De Fuca Troll,13,N FALCON T,US,pre-terminal
1302,,WA 4 T,WA OCEAN AREA 4 (NEAH BAY) NON-TRIBAL TROLL,42,Washington Area 4 (Neah Bay) Non-tribal Troll,13,N FALCON T,US,pre-terminal
1303,,WA 4 T T,WA OCEAN AREA 4 (NEAH BAY) TRIBAL TROLL,43,Washington Area 4 (Neah Bay) Tribal Troll,13,N FALCON T,US,pre-terminal
1304,,WA 3 T,WA OCEAN AREA 3 (LA PUSH) NON-TRIBAL TROLL,44,Washington Area 3 (La Push) Non-tribal Troll,13,N FALCON T,US,pre-terminal
1305,,WA 3 T T,WA OCEAN AREA 3 (LA PUSH) TRIBAL TROLL,45,Washington Area 3 (La Push) Tribal Troll,13,N FALCON T,US,pre-terminal
1306,,WA 2 T,WA OCEAN AREA 2 (WESTPORT) NON-TRIBAL TROLL,46,Washington Area 2 (Westport) Non-tribal Troll,13,N FALCON T,US,pre-terminal
1307,,WA 2 T T,WA OCEAN AREA 2 (WESTPORT) TRIBAL TROLL,47,Washington Area 2 (Westport) Tribal Troll,13,N FALCON T,US,pre-terminal
1308,,WA 1 T,WA OCEAN AREA 1 (COL R) TROLL,48,Washington Area 1 Troll,13,N FALCON T,US,pre-terminal
1309,,OR 3 T,OR OCEAN AREA 3 TROLL,49,Oregon Area 3 Troll,14,S FALCON T,US,pre-terminal
1310,,OR 4 T,OR OCEAN AREA 4 TROLL,50,Oregon Area 4 Troll,14,S FALCON T,US,pre-terminal
1311,,OR 5 T,OR OCEAN AREA 5 TROLL,51,Oregon Area 5 Troll,14,S FALCON T,US,pre-terminal
1312,,OR 6 T,OR OCEAN AREA 6 TROLL,52,Oregon Area 6 Troll,14,S FALCON T,US,pre-terminal
1313,,TOR CST T,OREGON COAST (PORT ORFORD) TERMINAL TROLL,53,Oregon Coast Terminal Troll,15,TOR TERM T,US,terminal
1314,,CAL T,CALIFORNIA (ALL AREAS) OCEAN TROLL,54,California Troll,14,S FALCON T,US,pre-terminal
2101,,AK 101 GN,AK DISTRICT 101 GILLNET,55,Alaska District 101 And 102 Gillnet,17,ALASKA N,US,pre-terminal
2102,,AK 102 GN,AK DISTRICT 102 GILLNET,55,Alaska District 101 And 102 Gillnet,17,ALASKA N,US,pre-terminal
2103,,AK 103 GN,AK DISTRICT 103 GILLNET,56,Alaska District 106 And 108 Gillnet,17,ALASKA N,US,pre-terminal
2104,,AK 104 GN,AK DISTRICT 104 GILLNET,56,Alaska District 106 And 108 Gillnet,17,ALASKA N,US,pre-terminal
2105,,AK 105 GN,AK DISTRICT 105 GILLNET,57,Alaska District 111 Gillnet,17,ALASKA N,US,pre-terminal
2106,,AK 106 GN,AK DISTRICT 106 GILLNET,58,Alaska District 115 Gillnet,17,ALASKA N,US,pre-terminal
2107,,AK 107 GN,AK DISTRICT 107 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2108,,AK 108 GN,AK DISTRICT 108 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2109,,AK 109 GN,AK DISTRICT 109 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2110,,AK 110 GN,AK DISTRICT 110 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2111,,AK 111 GN,AK DISTRICT 111 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2112,,AK 112 GN,AK DISTRICT 112 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
