"stock","cy","fishery_group","aeq_fishery_group_mort","aeq_total_mort","esc","fishery_group_er","stock_code","display_stock_name"
1,1984,"ALASKA S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"BC JF N",16.3859030654113,3708.10048865299,941.17,0.00352440304460727,"CHI",NA
1,1984,"BC JF S",26.0903110437157,3708.10048865299,941.17,0.00561169996613269,"CHI",NA
1,1984,"CBC S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"CENTRL N",9.09049678190717,3708.10048865299,941.17,0.00195525229261094,"CHI",NA
1,1984,"CENTRL T",218.383690397739,3708.10048865299,941.17,0.0469716035947416,"CHI",NA
1,1984,"FRASER N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"GEO ST N",0.309181881172638,3708.10048865299,941.17,6.6501160112587e-05,"CHI",NA
1,1984,"GEO ST S",1011.09010630949,3708.10048865299,941.17,0.217472850585302,"CHI",NA
1,1984,"GEO ST T",638.556473990755,3708.10048865299,941.17,0.137345520237899,"CHI",NA
1,1984,"JNST N",29.4879842462626,3708.10048865299,941.17,0.00634249702576586,"CHI",NA
1,1984,"JNST S",0.00277043073113113,3708.10048865299,941.17,5.95885040006307e-07,"CHI",NA
1,1984,"N FALCON S",0.17353530073107,3708.10048865299,941.17,3.73252752565377e-05,"CHI",NA
1,1984,"N FALCON T",88.3628780093681,3708.10048865299,941.17,0.0190057511656993,"CHI",NA
1,1984,"NBC AABM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"NBC ISBM S",0.00232052477768205,3708.10048865299,941.17,4.99115889975756e-07,"CHI",NA
1,1984,"NORTH N",0.0322464090963986,3708.10048865299,941.17,6.93579975075643e-06,"CHI",NA
1,1984,"NORTH T",20.1853533609675,3708.10048865299,941.17,0.00434161733765155,"CHI",NA
1,1984,"PGSDN N",17.2829513412028,3708.10048865299,941.17,0.00371734692214264,"CHI",NA
1,1984,"PGSDN S",22.7393655237146,3708.10048865299,941.17,0.00489095344725851,"CHI",NA
1,1984,"PGSDO N",18.9336578222778,3708.10048865299,941.17,0.00407239326438143,"CHI",NA
1,1984,"PGSDO S",86.7569616911654,3708.10048865299,941.17,0.0186603386279427,"CHI",NA
1,1984,"S FALCON S",4.85338385244511,3708.10048865299,941.17,0.0010439022346173,"CHI",NA
1,1984,"S FALCON T",12.7691047291117,3708.10048865299,941.17,0.00274647490617636,"CHI",NA
1,1984,"TAK TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TAK TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TAK TERM T",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TBC JF TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TBR TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TBR TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCAN TBR N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCBC TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCBC TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCENTRAL FN",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCENTRAL FS",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCOL R N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TCOL R S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TFRAS FN",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TFRASER FS",59.345795991037,3708.10048865299,941.17,0.0127645393263043,"CHI",NA
1,1984,"TFRASER TERM N",134.304809961177,3708.10048865299,941.17,0.0288872867881018,"CHI",NA
1,1984,"TGEO ST FN",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TGEO ST TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TGS FS",5.28141749761411,3708.10048865299,941.17,0.00113596692438178,"CHI",NA
1,1984,"TJNST TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TNBC TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TNBC TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TNF TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TNORTH FN",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TNORTH FS",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TOR TERM T",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TPGSDN TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TPGSDN TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TPGSDO TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TPGSDO TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TPS FN",0.00355847122504114,3708.10048865299,941.17,7.65382705464427e-07,"CHI",NA
1,1984,"TPS FS",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TSF TERM FS",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TSF TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TWAC FN",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TWCVI FS",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TWCVI TERM N",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"TWCVI TERM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"US JF N",17.3662178541567,3708.10048865299,941.17,0.00373525650885245,"CHI",NA
1,1984,"WA CST N",0.000109925622220341,3708.10048865299,941.17,2.36436280678066e-08,"CHI",NA
1,1984,"WCVI AABM S",3.62238922533211,3708.10048865299,941.17,0.000779130668816305,"CHI",NA
1,1984,"WCVI F/W T",34.6849651549951,3708.10048865299,941.17,0.00746030269472323,"CHI",NA
1,1984,"WCVI ISBM S",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"WCVI N",15.5581230854105,3708.10048865299,941.17,0.00334635791214592,"CHI",NA
1,1984,"WCVI SPR T",271.241017345465,3708.10048865299,941.17,0.0583405542885611,"CHI",NA
1,1984,"WCVI SUM T",928.728105579062,3708.10048865299,941.17,0.199757813154927,"CHI",NA
1,1984,"XCA ESC STRAY",15.2,3708.10048865299,941.17,0.00326933011041133,"CHI",NA
1,1984,"XUS ESC STRAY",0,3708.10048865299,941.17,0,"CHI",NA
1,1985,"AK FALL T",17.0187712804486,2051.2865385908,292.08,0.00726253063709058,"CHI",NA
1,1985,"AK JLI T",2.45880103399149,2051.2865385908,292.08,0.00104926011082761,"CHI",NA
1,1985,"AK JLO T",5.83817875418853,2051.2865385908,292.08,0.00249136388099976,"CHI",NA
1,1985,"AK JNI T",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"AK JNO T",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"AK W/S T",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"ALASKA N",2.11195463006355,2051.2865385908,292.08,0.000901248095542747,"CHI",NA
1,1985,"ALASKA S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"BC JF N",43.8890923245195,2051.2865385908,292.08,0.0187290769931846,"CHI",NA
1,1985,"BC JF S",10.3269959553455,2051.2865385908,292.08,0.00440690595571775,"CHI",NA
1,1985,"CBC S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"CENTRL N",11.9103612226694,2051.2865385908,292.08,0.00508258568453905,"CHI",NA
1,1985,"CENTRL T",50.4981973888775,2051.2865385908,292.08,0.021549423258064,"CHI",NA
1,1985,"FRASER N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"GEO ST N",4.28634631014767,2051.2865385908,292.08,0.00182914035835183,"CHI",NA
1,1985,"GEO ST S",488.307292025318,2051.2865385908,292.08,0.20837853745192,"CHI",NA
1,1985,"GEO ST T",142.253191509398,2051.2865385908,292.08,0.0607046269402408,"CHI",NA
1,1985,"JNST N",17.3551499254113,2051.2865385908,292.08,0.00740607567770768,"CHI",NA
1,1985,"JNST S",3.88975379611378,2051.2865385908,292.08,0.00165989986289252,"CHI",NA
1,1985,"N FALCON S",9.32063420192493,2051.2865385908,292.08,0.00397745467831506,"CHI",NA
1,1985,"N FALCON T",85.989228915025,2051.2865385908,292.08,0.0366947413044207,"CHI",NA
1,1985,"NBC AABM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"NBC ISBM S",4.98259189439131e-05,2051.2865385908,292.08,2.12625375174455e-08,"CHI",NA
1,1985,"NORTH N",5.02813146635083,2051.2865385908,292.08,0.00214568714861592,"CHI",NA
1,1985,"NORTH T",7.94269028957286,2051.2865385908,292.08,0.00338943573648075,"CHI",NA
1,1985,"PGSDN N",45.9776623465636,2051.2865385908,292.08,0.0196203460232955,"CHI",NA
1,1985,"PGSDN S",13.6453078340661,2051.2865385908,292.08,0.00582295070333802,"CHI",NA
1,1985,"PGSDO N",16.6764183694969,2051.2865385908,292.08,0.00711643615920426,"CHI",NA
1,1985,"PGSDO S",82.8547908048956,2051.2865385908,292.08,0.0353571622025127,"CHI",NA
1,1985,"S FALCON S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"S FALCON T",2.62048154948629,2051.2865385908,292.08,0.00111825508572045,"CHI",NA
1,1985,"TAK TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TAK TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TAK TERM T",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TBC JF TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TBR TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TBR TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCAN TBR N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCBC TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCBC TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCENTRAL FN",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCENTRAL FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCOL R N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TCOL R S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TFRAS FN",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TFRASER FS",22.6964986999183,2051.2865385908,292.08,0.00968542407948138,"CHI",NA
1,1985,"TFRASER TERM N",44.8444038626056,2051.2865385908,292.08,0.0191367432811314,"CHI",NA
1,1985,"TGEO ST FN",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TGEO ST TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TGS FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TJNST TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TNBC TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TNBC TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TNF TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TNORTH FN",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TNORTH FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TOR TERM T",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TPGSDN TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TPGSDN TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TPGSDO TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TPGSDO TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TPS FN",7.02297335545575,2051.2865385908,292.08,0.00299695896472051,"CHI",NA
1,1985,"TPS FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TSF TERM FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TSF TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TWAC FN",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TWCVI FS",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TWCVI TERM N",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"TWCVI TERM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"US JF N",12.4733392392513,2051.2865385908,292.08,0.00532282894452876,"CHI",NA
1,1985,"WA CST N",0.00158329133550932,2051.2865385908,292.08,6.75648179418591e-07,"CHI",NA
1,1985,"WCVI AABM S",6.89860922373478e-05,2051.2865385908,292.08,2.94388825227628e-08,"CHI",NA
1,1985,"WCVI F/W T",0.116289316384763,2051.2865385908,292.08,4.96248941297482e-05,"CHI",NA
1,1985,"WCVI ISBM S",0,2051.2865385908,292.08,0,"CHI",NA
1,1985,"WCVI N",16.420957094027,2051.2865385908,292.08,0.0070074215124288,"CHI",NA
1,1985,"WCVI SPR T",109.4115654156,2051.2865385908,292.08,0.0466899068557135,"CHI",NA
1,1985,"WCVI SUM T",655.799377570333,2051.2865385908,292.08,0.279853521320955,"CHI",NA
1,1985,"XCA ESC STRAY",112.3,2051.2865385908,292.08,0.0479225072777273,"CHI",NA
1,1985,"XUS ESC STRAY",0,2051.2865385908,292.08,0,"CHI",NA
1,1986,"AK FALL T",0.0026041054903695,1754.47250347501,402.07,1.20753728997843e-06,"CHI",NA
1,1986,"AK JLI T",8.13218337101565e-05,1754.47250347501,402.07,3.7709358187523e-08,"CHI",NA
1,1986,"AK JLO T",0.589115684922815,1754.47250347501,402.07,0.000273176013908155,"CHI",NA
1,1986,"AK JNI T",0.218514934709451,1754.47250347501,402.07,0.000101326514250167,"CHI",NA
1,1986,"AK JNO T",0.130325050745996,1754.47250347501,402.07,6.04324053599651e-05,"CHI",NA
1,1986,"AK W/S T",0.480752830009769,1754.47250347501,402.07,0.000222927593235512,"CHI",NA
1,1986,"ALASKA N",0.00139085901874413,1754.47250347501,402.07,6.44948576948023e-07,"CHI",NA
1,1986,"ALASKA S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"BC JF N",74.6688520405703,1754.47250347501,402.07,0.0346243359081727,"CHI",NA
1,1986,"BC JF S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"CBC S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"CENTRL N",19.9865348915357,1754.47250347501,402.07,0.00926786041050889,"CHI",NA
1,1986,"CENTRL T",48.1538380190262,1754.47250347501,402.07,0.0223291856948946,"CHI",NA
1,1986,"FRASER N",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"GEO ST N",19.1554373465071,1754.47250347501,402.07,0.00888247614672119,"CHI",NA
1,1986,"GEO ST S",397.629264446357,1754.47250347501,402.07,0.184382762595973,"CHI",NA
1,1986,"GEO ST T",221.946442778316,1754.47250347501,402.07,0.102917722428691,"CHI",NA
1,1986,"JNST N",8.24234777942781,1754.47250347501,402.07,0.00382201962917321,"CHI",NA
1,1986,"JNST S",0.1283334672165,1754.47250347501,402.07,5.95088976960602e-05,"CHI",NA
1,1986,"N FALCON S",4.81428906749688,1754.47250347501,402.07,0.00223241093543913,"CHI",NA
1,1986,"N FALCON T",64.2805825846374,1754.47250347501,402.07,0.0298072412118273,"CHI",NA
1,1986,"NBC AABM S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"NBC ISBM S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"NORTH N",10.8017835919863,1754.47250347501,402.07,0.00500884335670666,"CHI",NA
1,1986,"NORTH T",16.8603242902583,1754.47250347501,402.07,0.00781822025909062,"CHI",NA
1,1986,"PGSDN N",34.9190366815343,1754.47250347501,402.07,0.0161921393273105,"CHI",NA
1,1986,"PGSDN S",50.4076893370019,1754.47250347501,402.07,0.023374308299408,"CHI",NA
1,1986,"PGSDO N",9.21250939041997,1754.47250347501,402.07,0.00427188862523003,"CHI",NA
1,1986,"PGSDO S",88.8035762878937,1754.47250347501,402.07,0.0411786812199609,"CHI",NA
1,1986,"S FALCON S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"S FALCON T",0.499223820914295,1754.47250347501,402.07,0.000231492687999359,"CHI",NA
1,1986,"TAK TERM N",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"TAK TERM S",0,1754.47250347501,402.07,0,"CHI",NA
1,1986,"TAK TERM T",0,1754.47250347501,402.07,0,"CHI",NA
