SMU,stock,year,fish,fecundity,n_sampled
su_13,Chilko,2023,55,3293.116576,1
su_13,Chilko,2024,1,5796.929577,1
su_13,Chilko,2024,2,4861.780627,1
su_13,Chilko,2024,3,6409.867374,1
su_13,Chilko,2024,4,3060.610503,1
su_13,Chilko,2024,5,4498.115942,1
su_13,Chilko,2024,6,4668.385965,1
su_13,Chilko,2024,7,4637.252336,1
su_13,Chilko,2024,8,4847.09375,1
su_13,Chilko,2024,9,3671.792015,1
su_13,Chilko,2024,10,5057,1
su_13,Chilko,2024,11,4021.231754,1
su_13,Chilko,2024,12,4997.464637,1
su_13,Chilko,2024,13,3665.506035,1
su_13,Chilko,2024,14,1646.303303,1
su_13,Chilko,2024,15,4758.862524,1
su_13,Chilko,2024,16,4110.634721,1
su_13,Chilko,2024,17,5156.43513,1
su_13,Chilko,2024,18,1923,1
su_13,Chilko,2024,19,585,1
su_13,Chilko,2024,20,1605.649635,1
su_13,Chilko,2024,21,3971.495114,1
su_13,Chilko,2024,22,1549.143322,1
su_13,Chilko,2024,23,2514.658537,1
su_13,Chilko,2024,24,3709,1
su_13,Chilko,2024,25,4882.978967,1
su_13,Chilko,2024,26,5659.290837,1
su_13,Chilko,2024,27,5238.199336,1
su_13,Chilko,2024,28,4502.616034,1
su_13,Chilko,2024,29,3054.075269,1
su_13,Chilko,2024,30,3118.925734,1
su_13,Chilko,2024,31,2470,1
su_13,Chilko,2024,32,5421.521739,1
su_13,Chilko,2024,33,3933.175689,1
su_13,Chilko,2024,34,4848.101996,1
su_13,Chilko,2024,35,3059.868852,1
su_13,Chilko,2024,36,2488.043478,1
su_13,Chilko,2024,37,1908.004695,1
su_13,Chilko,2024,38,4845.925926,1
su_13,Chilko,2024,39,2745.55261,1
su_13,Chilko,2024,40,4293.586572,1
su_13,Chilko,2024,41,2341.788898,1
su_13,Chilko,2024,42,1031.72265,1
su_13,Chilko,2024,43,4853.300371,1
su_13,Chilko,2024,44,4639.80035,1
su_13,Chilko,2024,45,5580.857143,1
su_13,Chilko,2024,46,5022.325843,1
su_13,Chilko,2024,47,5287.060469,1
su_13,Chilko,2024,48,5246.646992,1
su_13,Chilko,2024,49,4599.591898,1
su_13,Chilko,2024,50,5139.217054,1
su_13,Chilko,2024,51,5164.512847,1
su_13,Chilko,2024,52,5152.817538,1
su_13,Chilko,2024,53,5225.832507,1
sp_13,Lower Chilcotin,2021,1,4955.801802,1
sp_13,Lower Chilcotin,2021,2,2483.116732,1
sp_13,Lower Chilcotin,2021,3,3342.278912,1
sp_13,Lower Chilcotin,2021,4,2783.356882,1
sp_13,Lower Chilcotin,2022,1,3988,1
sp_13,Lower Chilcotin,2024,1,3773.612565,1
sp_13,Lower Chilcotin,2024,2,2266.937709,1
sp_13,Lower Chilcotin,2024,3,3420.746269,1
sp_13,Lower Chilcotin,2024,4,4444.659298,1
sp_13,Chilako,2022,1,4262,4
sp_13,Endako,2021,1,2667,1
sp_13,Endako,2022,2,5482,3
sp_13,Endako,2023,3,3369,1
sp_13,Endako,2024,4,3920,3
sp_13,Horsefly,2021,1,5025,10
sp_13,Horsefly,2024,2,4913,4
sp_13,McGregor,2021,1,4389,8
sp_13,Salmon,2021,1,4968,1
sp_13,Salmon,2022,2,2422,1
sp_13,Slim,2021,1,5063,9
sp_13,Slim,2022,2,4203,8
sp_13,Slim,2023,3,4919,8
sp_13,Slim,2024,4,4732,9
sp_13,Tete Jaune,2021,1,3649,7
sp_13,Torpy Walker,2021,1,4484,9
sp_13,Torpy Walker,2022,2,5051,9
sp_13,Torpy Walker,2024,3,5311,4
sp_13,Upper Cariboo,2021,1,4329,15
sp_13,Upper Cariboo,2022,2,4730,15
sp_13,Upper Cariboo,2023,3,4805,15
sp_13,Upper Cariboo,2024,4,5057,14
sp_13,Upper Chilcotin,2021,1,4713,3
sp_13,Upper Chilcotin,2022,2,6113,3
sp_13,Upper Chilcotin,2024,3,3995,3
sp_13,West Road/Nazko,2021,1,4676,7
sp_13,West Road/Nazko,2022,2,4944,10
sp_13,West Road/Nazko,2023,3,5019,12
sp_13,West Road/Nazko,2024,4,5259,3
sp_13,Willow,2021,1,4505,8
sp_13,Willow,2022,2,4598,26
sp_13,Willow,2023,3,3947,31
sp_13,Willow,2024,4,3716,31
